,Setor,Código,Ação,Tipo,Qtde. Teórica,Part. (%),Part. (%)Acum.
32,Financ e Outros / Explor Imóveis,ALSO3,ALIANSCSONAE,ON  ED  NM,532365440,"0,525","1,140"
33,Financ e Outros / Explor Imóveis,IGTI11,IGUATEMI S.A,UNT ED  N1,215741055,"0,239","1,140"
34,Financ e Outros / Explor Imóveis,MULT3,MULTIPLAN,ON      N2,266933994,"0,376","1,140"
35,Financ e Outros / Interms Financs,BBDC3,BRADESCO,ON      N1,1500631902,"1,014","19,428"
36,Financ e Outros / Interms Financs,BBDC4,BRADESCO,PN      N1,5146612491,"3,880","19,428"
37,Financ e Outros / Interms Financs,BBAS3,BRASIL,ON      NM,1420731069,"3,314","19,428"
38,Financ e Outros / Interms Financs,BPAC11,BTGP BANCO,UNT     N2,1225470424,"1,562","19,428"
39,Financ e Outros / Interms Financs,ITSA4,ITAUSA,PN      N1,5014245900,"2,369","19,428"
40,Financ e Outros / Interms Financs,ITUB4,ITAUUNIBANCO,PN  EJ  N1,4801630041,"6,769","19,428"
41,Financ e Outros / Interms Financs,SANB11,SANTANDER BR,UNT EJ,355642848,"0,520","19,428"
42,Financ e Outros / Previd  Seguros,BBSE3,BBSEGURIDADE,ON      NM,671682536,"1,254","1,393"
43,Financ e Outros / Previd  Seguros,IRBR3,IRBBRASIL RE,ON      NM,81445253,"0,139","1,393"
44,Financeiro e Outros/Serviços Financeiros Diversos,B3SA3,B3,ON      NM,5733398051,"3,644","3,970"
45,Financeiro e Outros/Serviços Financeiros Diversos,CIEL3,CIELO,ON      NM,1095401258,"0,326","3,970"
46,Mats Básicos / Madeira e Papel,DXCO3,DEXCO,ON      NM,274863424,"0,088","2,393"
47,Mats Básicos / Madeira e Papel,KLBN11,KLABIN S/A,UNT     N2,701899756,"0,731","2,393"
48,Mats Básicos / Madeira e Papel,SUZB3,SUZANO S.A.,ON      NM,726823001,"1,574","2,393"
49,Mats Básicos / Mineração,BRAP4,BRADESPAR,PN  ED  N1,251008334,"0,324","16,496"
50,Mats Básicos / Mineração,CMIN3,CSNMINERACAO,ON  ED  N2,1110550596,"0,273","16,496"
51,Mats Básicos / Mineração,VALE3,VALE,ON      NM,4035078991,"15,899","16,496"
52,Mats Básicos / Químicos,BRKM5,BRASKEM,PNA     N1,265212486,"0,286","0,286"
53,Mats Básicos / Sid Metalurgia,GGBR4,GERDAU,PN      N1,1093112629,"1,498","2,540"
54,Mats Básicos / Sid Metalurgia,GOAU4,GERDAU MET,PN      N1,667194478,"0,423","2,540"
55,Mats Básicos / Sid Metalurgia,CSNA3,SID NACIONAL,ON  ED,589695175,"0,417","2,540"
56,Mats Básicos / Sid Metalurgia,USIM5,USIMINAS,PNA ED  N1,515014562,"0,202","2,540"
57,Petróleo/ Gás e Biocombustíveis,RRRP3,3R PETROLEUM,ON  ES  NM,234689601,"0,404","14,832"
58,Petróleo/ Gás e Biocombustíveis,CSAN3,COSAN,ON      NM,1171063698,"0,955","14,832"
59,Petróleo/ Gás e Biocombustíveis,PETR3,PETROBRAS,ON  EDR N2,2990884064,"4,341","14,832"
60,Petróleo/ Gás e Biocombustíveis,PETR4,PETROBRAS,PN  EDR N2,4566511125,"5,890","14,832"
61,Petróleo/ Gás e Biocombustíveis,PRIO3,PETRORIO,ON      NM,839159130,"1,587","14,832"
62,Petróleo/ Gás e Biocombustíveis,UGPA3,ULTRAPAR,ON      NM,1087887681,"0,855","14,832"
63,Petróleo/ Gás e Biocombustíveis,VBBR3,VIBRA,ON      NM,1114442976,"0,800","14,832"
64,Saúde/Comércio Distr.,HYPE3,HYPERA,ON      NM,400842480,"0,813","2,414"
65,Saúde/Comércio Distr.,RADL3,RAIADROGASIL,ON  ED  NM,1119187853,"1,601","2,414"
66,Saúde/SM Hosp An.Diag,FLRY3,FLEURY,ON      NM,402677569,"0,318","2,330"
67,Saúde/SM Hosp An.Diag,HAPV3,HAPVIDA,ON      NM,4324011467,"0,649","2,330"
68,Saúde/SM Hosp An.Diag,RDOR3,REDE D OR,ON      NM,1095177074,"1,363","2,330"
69,Tec.Informação/Programas Servs,LWSA3,LOCAWEB,ON      NM,430758874,"0,123","0,873"
70,Tec.Informação/Programas Servs,CASH3,MELIUZ,ON  ES  NM,691552778,"0,032","0,873"
71,Tec.Informação/Programas Servs,TOTS3,TOTVS,ON      NM,513869896,"0,718","0,873"
72,Telecomunicação,VIVT3,TELEF BRASIL,ON,423091712,"0,947","1,563"
73,Telecomunicação,TIMS3,TIM,ON  EJ  NM,808436195,"0,616","1,563"
74,Utilidade Públ / Água Saneamento,SBSP3,SABESP,ON  EJ  NM,340002999,"0,833","0,833"
75,Utilidade Públ / Energ Elétrica,CMIG4,CEMIG,PN  ED  N1,1442098974,"0,969","10,718"
76,Utilidade Públ / Energ Elétrica,CPLE6,COPEL,PNB     N2,1563365506,"0,682","10,718"
77,Utilidade Públ / Energ Elétrica,CPFE3,CPFL ENERGIA,ON  ED  NM,187732538,"0,317","10,718"
78,Utilidade Públ / Energ Elétrica,ELET3,ELETROBRAS,ON  ED  N1,2019004498,"3,719","10,718"
79,Utilidade Públ / Energ Elétrica,ELET6,ELETROBRAS,PNB ED  N1,275526814,"0,546","10,718"
80,Utilidade Públ / Energ Elétrica,ENBR3,ENERGIAS BR,ON      NM,246028184,"0,301","10,718"
81,Utilidade Públ / Energ Elétrica,ENGI11,ENERGISA,UNT     N2,248477689,"0,565","10,718"
82,Utilidade Públ / Energ Elétrica,ENEV3,ENEVA,ON      NM,1577877205,"0,975","10,718"
83,Utilidade Públ / Energ Elétrica,EGIE3,ENGIE BRASIL,ON      NM,255208461,"0,573","10,718"
84,Utilidade Públ / Energ Elétrica,EQTL3,EQUATORIAL,ON  EDS NM,1115920673,"1,637","10,718"
85,Utilidade Públ / Energ Elétrica,TAEE11,TAESA,UNT     N2,218568234,"0,434","10,718"
